Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,SHAP_Shap_headline_1m,SHAP_Shap_core_1m,SHAP_Shap_sin_cycle_1,SHAP_Shap_cos_cycle_1,SHAP_Shap_sin_cycle_2,SHAP_Shap_cos_cycle_2,SHAP_Shap_Factor_1,SHAP_Shap_Factor_2,SHAP_Shap_Factor_3,SHAP_Shap_Factor_4,SHAP_Shap_Factor_5,SHAP_Shap_Constant
2012-09-01,2013-03-01,-0.1405981077157392,0.388108947822019,0.31445493931971014,0.3371075442160502,0.2795311505754061,0.29110278215122076,9.334461353211063,-9.999999999874166,3.6094546741772437,0.31257396926429404,-0.5559402157513382,-0.2915866879824591,-1.3817521236856756,-0.8670771107327724,0.0684774178212777,0.1358616887801034,-0.4856411618934686,0.13986345907691183,0.14699495655947106,0.01200983206206594,0.006595973847606398,0.1687862038633903,0.0014656258695872222,0.0,-0.0007680693687140416,-0.1264819539513341,-0.006321634537087497,-0.19884261670075623,-0.025612692418878296,0.0010104704893042539,0.556267808666835
2012-12-01,2013-06-01,0.624585915574194,0.1380488948461433,0.3657879324435102,0.38025201765981465,0.2367182725389276,0.7808930116677939,14.465108191658784,-9.99999999927361,3.9585095113361897,0.38331703383957133,-0.2379100909859488,-0.48117860134997414,-1.4463140105652528,-1.0358442106665144,-0.16936599955865717,0.03701144087226993,-0.5502030487730458,0.09560916837138064,0.08625930382593817,-0.00902774043196397,-0.03187545028770336,-0.004042787088390109,0.006554394457381025,0.0,-0.00016385312208561098,-0.131957944946207,-0.008261789464743399,-0.20195383243550932,-0.06359328515921571,0.013921209878708202,0.5684499734458724
2013-03-01,2013-09-01,0.0032010563485229,-0.3149433718176553,0.2294723353321679,0.2412348464801711,0.10121587717318453,0.6185403396172482,45.811369471570536,-4.992740472770267,3.506256085419551,0.7478635169277257,-0.0686985256836081,-0.22777073976669726,-0.9664100156500766,-0.5686466992838923,0.2129590452161878,0.49368096972539643,-0.07029905385786961,0.3981095973529119,0.39958967648278926,-0.01090835488531211,-0.0228415666733469,-0.20423201016429324,-0.002098061379074388,0.0,-0.0020467145037991945,-0.15617309732456502,-0.10701640190716119,-0.2778911960902856,-0.010782703168865091,0.003389224757483711,0.4756575095215639
2013-06-01,2013-12-01,-0.6572074621779223,-0.1481896715031183,0.2870562524618658,0.3162453384594744,0.25909911122345847,0.32916981945878676,26.057867873016974,-9.99999999997544,5.02092386079358,0.5197743545577441,-0.0163107733018641,0.23819812203553783,-0.8094538871985433,-0.23791009098594884,0.5725493649685554,0.8454209745152319,0.312292957787097,0.10832545055379826,0.11950697225591386,0.0006795346945683844,-0.008247342877805977,-0.0008123382618271918,-0.02186119423932658,0.0,0.001047124467040445,-0.11763628922901531,-0.02236906698822347,-0.3492537187390562,-0.09902423539103587,-0.016032680704573393,0.4853205357661367
2013-09-01,2014-03-01,0.1411956288000837,-0.01671680049391,0.24184505396224354,0.23718488005959174,0.024936335325530565,0.5906415862285151,35.566878935701084,-9.999999999999998,6.004048376891282,0.6024736150605764,0.0721983425743033,-0.006757872072693516,-0.8945104336179455,-0.5429197466792601,0.37831516839341717,0.5941209841648692,0.001600528174261484,0.19206192153617777,0.18621872735176714,-0.006771851703725655,-0.005965675852234188,0.1290907680488442,-0.0028509458669319057,0.0,-0.007865547826676396,-0.1470705100919255,-0.0662422274421672,-0.3259652489172568,-0.1113452949984272,0.008994670304509067,0.5192750638520816
2013-12-01,2014-06-01,0.5767960660218563,0.0141816985239628,0.37546785109322056,0.37423255084068446,0.31653492651505477,0.8129425668279642,7.71854205939585,-2.445704501076191,1.515057120828217,0.6082461151750217,-0.0402056980780329,-0.32151288182697974,-1.224714692881168,-0.8234494859443053,-0.04660175643067532,0.2072533384909372,-0.3286037310889611,0.0957287381944581,0.08741262859638271,-0.007825853346135805,-0.011523863870437993,-0.0030075649861803447,0.03299565598630077,0.0,0.0053438490124968485,-0.11590168966792917,-0.03759289709880261,-0.2614210925491319,-0.0734456928997749,0.008081671137469597,0.47847917680608815
2014-03-01,2014-09-01,-0.144996888917781,-0.1405981077157392,0.1786469125886664,0.18896951434180564,1.9349276063436465e-05,0.5565975552301476,30.204408883966543,-9.999984034209945,4.231807624437317,0.44351425129620636,-0.0019006300588486,0.00029876054217227443,-0.8255131473921651,-0.42424794045530234,0.2752686741649413,0.4725686306090715,0.07059781440004187,0.5268352114856247,0.5311805627870257,0.004999023018267601,-0.016104318338091592,-0.12048978246704854,-0.005984826101341376,0.0,-0.007071181449451217,-0.10645608610045505,-0.04737399537897592,-0.24928505776080176,-0.0800070442827852,0.02374711181131817,0.46342804933362547
2014-06-01,2014-12-01,-0.0664685590376024,-0.01671680049391,0.2121377262280335,0.20160725923535536,0.00247523747818987,0.5485310415236553,19.877829738194357,-9.999999999999817,4.453784325360381,0.45533453323603035,0.2551637534921269,0.28003963276397315,-0.8304543914192664,-0.2618050157621177,0.5583164191265588,0.8113317735010561,0.28839803301092815,0.1070132511197061,0.098257786900823,-0.001457777100857105,-0.020499312664355365,-0.006712496608370888,-0.043854819642718826,0.0,-0.0008180989421076035,-0.06099331602107308,-0.029525298960031962,-0.23412626640377046,-0.09608764341373865,0.036577741654874596,0.44078048760823924
2014-09-01,2015-03-01,-0.2119845523816721,0.0699142341860081,0.2172274947613156,0.22974272938812,0.07946692586833051,0.36909869514333427,9.122952581971287,-1.9864500596793515,1.4137108758929455,0.6660045038594606,-0.1784907206497266,-0.03754132736588648,-0.8384921175879967,-0.5673441993142347,0.3226261337136549,0.519591008367115,-0.07249844445889053,0.08802439289239428,0.08019336478049356,0.0,-0.0012124241174265582,0.08856919284149084,-0.0036816782695714735,0.0,-0.0031128793854720478,-0.07845346446448197,-0.009061489783197499,-0.2726478964090827,-0.09807724076526242,0.02258290346451368,0.4250092110744983
2014-12-01,2015-06-01,-0.6574907912806793,0.163069068780608,0.544615061916127,0.5591426601301089,0.6733184839437995,0.13129530884857313,3.7869266193638826,-1.0295878666911975,0.826642068938309,0.5399248315321841,-0.3619796751591408,0.0483002548715028,-0.583437328291847,-0.3589405765060505,0.408460778068509,0.5588551733072044,-0.0332342795188012,0.3260484946161342,0.32870722780191247,0.0010874929917806808,-0.014472713054780836,-0.005188450535909902,0.04448713287503737,0.0,0.0011225040407409385,-0.061143435977510645,-0.013530681748817646,-0.20757902121316307,-0.06041283919538206,0.020513980118927938,0.45818510047968525
2015-03-01,2015-09-01,-1.110628610340747,0.1186781119358215,0.7794831125863189,0.8006906244694254,1.5111950174343605,0.10591824275858623,7.7464267260115145,-1.9029908884883264,1.5325809910241748,0.7120875479350082,-0.6613065813612096,-0.04665322022292531,-1.002103237983043,-0.4997862829385191,0.336093736491172,0.559231601372634,-0.10599227619083607,0.3228074568862707,0.3276566381710793,0.0021347947729637605,0.00028060178110850265,-0.15964932684634264,0.0,0.0,-0.0009088695857716869,-0.13380403164759994,-0.01058496632895302,0.13030213385434483,-0.12498655666363266,-0.023867291128263864,0.43976162372796823
